Date,Open,High,Low,Close,Adj Close,Volume
2019-04-22,29.690001,29.709999,28.860001,29.270000,28.915388,3605600
2019-04-23,29.410000,29.760000,29.260000,29.570000,29.211752,2635600
2019-04-24,29.680000,29.959999,29.540001,29.799999,29.438965,1861800
2019-04-25,29.690001,29.990000,29.530001,29.920000,29.557512,3034400
2019-04-26,29.990000,30.290001,29.910000,30.250000,29.883514,3125200
2019-04-29,30.120001,30.190001,29.520000,29.549999,29.191994,2796600
2019-04-30,29.570000,30.000000,29.420000,29.780001,29.419209,3588200
2019-05-01,29.770000,30.370001,29.600000,29.930000,29.567390,2212100
2019-05-02,29.799999,30.879999,29.799999,30.540001,30.170002,3890700
2019-05-03,30.379999,30.740000,30.139999,30.690001,30.690001,2672000
2019-05-06,30.549999,30.660000,30.100000,30.280001,30.280001,2270300
2019-05-07,30.170000,30.280001,29.510000,29.799999,29.799999,3115600
2019-05-08,29.799999,30.160000,29.660000,29.690001,29.690001,2359800
2019-05-09,29.780001,30.040001,29.500000,30.000000,30.000000,2742300
2019-05-10,30.010000,30.440001,29.959999,30.330000,30.330000,2442500
2019-05-13,30.150000,30.959999,30.150000,30.950001,30.950001,4278600
2019-05-14,30.900000,31.129999,30.790001,30.879999,30.879999,2092600
2019-05-15,31.010000,31.330000,30.820000,31.190001,31.190001,1774300
2019-05-16,31.139999,31.680000,31.100000,31.549999,31.549999,2658100
2019-05-17,31.469999,31.730000,31.370001,31.610001,31.610001,2771600
2019-05-20,31.629999,31.740000,30.860001,31.020000,31.020000,1799700
